System_Voltage_Configuration,MCOV,Max_Surge_Current_Rating,VP_Line_to_Line,VP_Line_to_Neutral,VP_Line_to_Ground,VP_Neutral_to_Ground,Enclosure_Protection_Level,SPD_Name_Product_Number,SPD_Type,Description,Product_Link,Data_Sheet
120/240V Split Phase,150 Vac,160kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-080-120T,1,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
120/240V Split Phase,150 Vac,320kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-160-120T,1,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
120/240V Split Phase,150 Vac,480kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-240-120T,1,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
120/208V 3 Phase Wye,150 Vac,160kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-080-120W,1,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
120/208V 3 Phase Wye,150 Vac,320kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-160-120W,1,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
120/208V 3 Phase Wye,150 Vac,480kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-240-120W,1,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
127/220V 3 Phase Wye,150 Vac,160kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-080-127W,1,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
127/220V 3 Phase Wye,150 Vac,320kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-160-127W,1,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
127/220V 3 Phase Wye,150 Vac,480kA,1000V,700V,700V,700V,NEMA 12/4,ADSi-240-127W,1,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
220/380V 3 Phase Wye,320 Vac,160kA,1800V,1000V,1000V,1000V,NEMA 12/4,ADSi-080-220W,1,,https://shopalltec.com/adsi-080/?searchid=6544&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-080%20Datasheet.pdf
220/380V 3 Phase Wye,320 Vac,320kA,1800V,1000V,1000V,1000V,NEMA 12/4,ADSi-160-220W,1,,https://shopalltec.com/adsi-160/?searchid=6545&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-160%20Datasheet.pdf
220/380V 3 Phase Wye,320 Vac,480kA,1800V,1000V,1000V,1000V,NEMA 12/4,ADSi-240-220W,1,,https://shopalltec.com/adsi-240/?searchid=6546&search_query=adsi,https://store-5mbkp8w1z3.mybigcommerce.com/content/ADSi-240%20Datasheet.pdf
